sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
A0012-FBA	X000GTE0B1	B0052O7G06	MAXFLOORMAT Floor Mats for Toyota Corolla (2009-2013) First Row Set (Black)	New	85.49	No		Yes	1	1	0	0	1	3.38	0	0	0
A0012/B0012-FBA	X000GTDZYT	B00C2S0XZK	MAXFLOORMAT Floor Mats for Toyota Corolla (2009-2013) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	0	3.35	0	0	0
A0015-FBA	X000GTDD91	B0051VGB74	MAXFLOORMAT Silverado-Sierra-Avalanche (2007-2013) / Tahoe-Suburban-Yukon-Denali-Escalade (2007-2014) First Row Black	New	85.49	No		Yes	3	3	0	0	4	2.73	0	1	0
A0015/B0015-FBA	X000GTDZSF	B00C288HWG	MAXFLOORMAT Floor Mats for Tahoe / Suburban / Yukon / Denali and XL Models (2007-2014) Complete Set (Black)	New	143.98	No		Yes	6	6	0	0	6	2.92	0	0	0
A0015/B0015/C0015-FBA	X000I99Z73	B00HYHW2X0	MAXFLOORMAT Floor Mats for Chevrolet Suburban / GMC Yukon XL-Denali XL (2007-2014) (3 Row Set) (Black)	New	197.97	No		Yes	13	13	0	0	13	3.01	0	0	0
A0015/B0015/C0015-XXX	X000YOJ3W9	B00HYHW2X0	MAXFLOORMAT Floor Mats for Chevrolet Suburban / GMC Yukon XL-Denali XL (2007-2014) (3 Row Set) (Black)	New	197.97	No		Yes	12	12	0	0	12	3.01	0	0	0
A0015/B0015/C0015/E0238-FBA	B071SLKRS5	B071SLKRS5	MAXFLOORMAT Floor Mats (3-Rows) and MAXTRAY Cargo Liner (Behind 3rd Row) for Suburban / Yukon XL (2007-2014) (Black)	New	278.96	No		Yes	7	6	1	0	13	5.73	0	0	6
A0015/B0015/D0045-FBA	X000GTE0BL	B00HYHW3S4	MAXFLOORMAT Floor Mats (2-Rows) and MAXTRAY Cargo Liner (Behind 2nd Row) for Chevrolet Tahoe (2007-2014) (Black)	New	224.97	No		Yes	4	4	0	0	4	5.6	0	0	0
A0015/B0015/D0202-FBA	X00152Y44B	B01E4HTTLA	MAXFLOORMAT Floor Mats (2-Rows) and MAXTRAY Cargo Liner for Tahoe / Yukon (Without 3rd Row) 2007-2008 (Black)	New	224.97	No		Yes	2	2	0	0	2	5.27	0	0	0
A0015/B0015/E0238-FBA	B071SLKL1R	B071SLKL1R	MAXFLOORMAT Floor Mats (2-Rows) and MAXTRAY Cargo Liner (Behind 3rd Row) for Suburban / Yukon XL (2007-2014) (Black)	New	224.97	No		Yes	3	3	0	0	3	5.72	0	0	0
A0015/B0020-FBA	X000GTDZW1	B00C28CLI2	MAXFLOORMAT Floor Mats for Silverado / Sierra Crew Cab (2007-2013) HD Models (2007-2014) Complete Set (Black)	New	152.98	No		Yes	7	7	0	0	27	3.07	0	20	0
A0015/B0097-FBA	X000GTDZU3	B00C28ORE8	MAXFLOORMAT Floor Mats for Silverado / Sierra Extended Cab and HD Models (2007-2013) Complete Set (Black)	New	152.98	No		Yes	13	13	0	0	13	3.18	0	0	0
A0015/B0099-FBA	X000GTE00H	B00HYHW46A	MAXFLOORMAT Floor Mats for Cadillac Escalade (Non Hybrid) (2007-2014)-Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	4	1.63	0	4	0
A0015/B0099/D0045-FBA	X001GWCPU5	B00QX0IPP8	MAXFLOORMAT Floor Mats (2-Rows) and MAXTRAY Cargo Liner (Behind 2nd Row) for Escalade 2007-2014 (Black)	New	224.97	No		Yes	1	1	0	0	1	3.81	0	0	0
A0015/B0160-FBA	B06XDCVC63	B06XDCVC63	MAXFLOORMAT Floor Mats for Tahoe (2009-2014) / Yukon (2011-2014) With Second Row Bucket Seats Complete Set (Black)	New	152.98	No		Yes	6	6	0	0	6	2.87	0	0	0
A0015/B0160/D0045-FBA	B071P4NXMM	B071P4NXMM	MAXFLOORMAT Floor Mats (3-Rows) and MAXTRAY Cargo Liner (Behind 2nd Row) for Tahoe 2009-2014 / Yukon 2011-2014 (Black)	New	233.97	No		Yes	4	4	0	0	4	5.77	0	0	0
A0015/B0228-FBA	B01MG88VB0	B01MG88VB0	MAXFLOORMAT Floor Mats for Chevrolet Avalanche (2007-2013) Complete Set (Black)	New	143.98	No		Yes	4	2	0	2	4	2.12	0	0	0
A0017-FBA	X000XXZV59	B00HYHW4ZG	MAXFLOORMAT Floor Mats for Ford F-150 (All Models) (2009-2010) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	4	3.08	0	4	0
A0017/B0026-FBA	X000GTE0CZ	B00HYHW4V0	MAXFLOORMAT Floor Mats for Ford F-150 SuperCab Non Flow Center Console (2009-2010) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	0	3.1	0	0	0
A0017/B0027-FBA	X000GTE0BV	B00HYHW67M	MAXFLOORMAT Floor Mats for Ford F-150 SuperCab With Flow Center Console (2009-2010) Complete Set (Black)	New	143.98	No		Yes	2	2	0	0	2	3.24	0	0	0
A0017/B0028-FBA	X000GTDZXF	B00HYHW500	MAXFLOORMAT Floor Mats for Ford F-150 SuperCrew Cab (2009-2010) Complete Set (Black)	New	152.98	No		Yes	2	2	0	0	2	3.32	0	0	0
A0019/B0019-FBA	X000GTE06B	B00C2S26AK	MAXFLOORMAT Floor Mats for Toyota RAV4 (2006-2012) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	2.92	0	0	0
A0019/B0019/D0051-FBA	X000GTE0C5	B00HYHW7ZS	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Toyota RAV4 Without Third Row Seat (2006-2012) Complete Set (Black)	New	224.97	No		Yes	1	1	0	0	14	7.56	0	13	0
A0021/B0021-FBA	X000GTDZRV	B00C2S2WX6	MAXFLOORMAT Floor Mats for Honda CR-V (2007-2011) Complete Set (Black)	New	143.98	No		Yes	2	2	0	0	2	2.92	0	0	0
A0021/B0021/D0014-FBA	X000GTE04D	B00HYHW7XK	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Honda CR-V (2007-2011) Complete Set (Black)	New	224.97	No		Yes	4	4	0	0	4	5.11	0	0	0
A0022-FBA	X000GTE06L	B006M4TP1S	MAXFLOORMAT Floor Mats for Toyota Tundra (All Models) (2007-2011) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	4	3.09	0	4	0
A0022/B0022-FBA	X000GTE00R	B00C2S3RBW	MAXFLOORMAT Floor Mats for Toyota Tundra Crew Max (2007-2011) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	8	2.09	0	8	0
A0022/B0041-FBA	X000GTE0AH	B00C2S4GOE	MAXFLOORMAT Floor Mats for Toyota Tundra Double Cab (2007-2011) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	1.74	0	0	0
A0033-FBA	X000GTE0D9	B0052FSZ0K	MAXFLOORMAT Floor Mats for Toyota Tacoma (All Models) (2005-2011) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	4	2.98	0	4	0
A0033/B0033-FBA	X000GTDZQH	B00C8A3GG0	MAXFLOORMAT Floor Mats for Toyota Tacoma Double Cab (2005-2011) Complete Set (Black)	New	143.98	No		Yes	11	11	0	0	11	2.92	0	0	0
A0036-FBA	X000GTDCXX	B0052FFHS8	MAXFLOORMAT Floor Mats for Honda Pilot (2009-2015) First Row Set (Black)	New	85.49	No		Yes	1	1	0	0	1	2.94	0	0	0
A0036/B0036-FBA	X000IK68RH	B00HYHWC6M	MAXFLOORMAT Floor Mats for Honda Pilot (2009-2015) (2 Row Set) (Black)	New	143.98	No		Yes	1	1	0	0	1	2.92	0	0	0
A0036/B0036/C0036-FBA	X000GTDZXZ	B00HYHWCJY	MAXFLOORMAT Floor Mats for Honda Pilot (2009-2015) (3 Row Set) (Black)	New	188.97	No		Yes	0	0	0	0	4	3.15	0	4	0
A0036/B0036/C0036/D0036-FBA	X000YU6BCN	B01CSYR198	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner (Behind Second Row) for Honda Pilot (2009-2015) (Black)	New	278.96	No		Yes	8	8	0	0	8	5.71	0	0	0
A0036/B0036/D0036-FBA	X000YU6CXV	B01CSYR24W	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner (Behind Second Row) for Honda Pilot (2009-2015) (Black)	New	233.97	No		Yes	3	3	0	0	3	5.55	0	0	0
A0037/B0037/C0037-FBA	X000GTDZZD	B00HYHWFDC	MAXFLOORMAT Floor Mats for Toyota Highlander Hybrid (2008-2013) (3 Row Set) (Black)	New	188.97	No		Yes	3	3	0	0	3	2.95	0	0	0
A0038/B0037-FBA	X000ILILSZ	B00C2S6V6K	MAXFLOORMAT Floor Mats for Toyota Highlander Non Hybrid (2008-2013) (2 Row Set) (Black)	New	143.98	No		Yes	1	1	0	0	1	2.81	0	0	0
A0038/B0037/C0037-FBA	X000GTE057	B00HYHWEC4	MAXFLOORMAT Floor Mats for Toyota Highlander Non Hybrid (2008-2013) (3 Row Set) (Black)	New	188.97	No		Yes	0	0	0	0	0	3.09	0	0	0
A0038/B0037/C0037/D0057-FBA	X000GTDZUD	B00HZOAYKA	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner for Highlander Non Hybrid (2008-2013) (Black)	New	269.96	No		Yes	1	1	0	0	1	4.97	0	0	0
A0038/B0037/D0057-FBA	X000GTE07P	B00HZOB0HQ	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner for Highlander Non Hybrid (2008-2013) (Black)	New	224.97	No		Yes	2	2	0	0	2	5.17	0	0	0
A0042-FBA	X000GTDCUV	B006YVYQUE	MAXFLOORMAT Floor Mats Ford F-250 / F-350 / F-450 / F-550 All Models Depressed Pedal (2011-2012) First Row Set (Black)	New	85.49	No		Yes	10	10	0	0	10	2.84	0	0	0
A0042/B0042-FBA	X000GTE01V	B00HYHWGTK	MAXFLOORMAT Floor Mats Ford F-250 / F-350 / F-450 / F-550 Crew Cab Depressed Pedal (2011-2012) Complete Set (Black)	New	143.98	No		Yes	11	11	0	0	11	2.18	0	0	0
A0042/B0091-FBA	X000GTE01B	B00HYHWH30	MAXFLOORMAT Floor Mats Ford F-250 / F-350 / F-450 / F-550 Extended Cab Depresed Pedal (2011-2012) Complete Set (Black)	New	143.98	No		Yes	3	3	0	0	3	3.14	0	0	0
A0043-FBA	X000GTE06V	B006M4TZ4K	MAXFLOORMAT Floor Mats for Traverse / Enclave / Acadia / Outlook First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.66	0	0	0
A0043/B0043-FBA	X000GTDZXP	B00C2SKUT4	MAXFLOORMAT Floor Mats for Traverse / Enclave / Acadia / Outlook Bench Seat (2 Row Set) (Black)	New	143.98	No		Yes	1	1	0	0	1	2.92	0	0	0
A0043/B0043/D0043-FBA	X000GTDZV7	B00HZOB9YK	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row Traverse / Enclave Bench Seat Black	New	233.97	No		Yes	0	0	0	0	0	5.26	0	0	0
A0043/B0043/D0044-FBA	X000GTE07F	B00HZOB9YU	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row Traverse / Enclave Bench Seat Black	New	215.97	No		Yes	7	7	0	0	7	5.22	0	0	0
A0043/B0043/D0044-XXX	X000VXO7ZV	B00HZOB9YU	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row Traverse / Enclave Bench Seat Black	New	215.97	No		Yes	3	3	0	0	3	5.22	0	0	0
A0043/B0043/D0162	X000SSD8QD	B010643GG4	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row GMC ACADIA Bench Seat Black	New	233.97	Yes	49	No	0	0	0	0	0	4.92	0	0	0
A0043/B0043/D0162-FBA	X000SUN4E7	B010643GG4	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row GMC ACADIA Bench Seat Black	New	233.97	No		Yes	0	0	0	0	0	4.92	0	0	0
A0043/B0043/E0162	X000SSD8WR	B010643ITE	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row GMC ACADIA Bench Seat Black	New	215.97	Yes	67	No	0	0	0	0	0	5	0	0	0
A0043/B0043/E0162-FBA	X000SUMWDL	B010643ITE	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row GMC ACADIA Bench Seat Black	New	215.97	No		Yes	1	1	0	0	1	5	0	0	0
A0043/B0044-FBA	X000GTE09D	B00C2SLE2G	MAXFLOORMAT Floor Mats for Traverse / Enclave / Acadia / Outlook Bucket Seat Complete Set (Black)	New	161.98	No		Yes	38	35	0	3	38	2.66	0	0	0
A0043/B0044-P-AMZ	X001FXCKR3	B01MTL5E9I	MAXFLOORMAT Floor Mats NEW FULL COVERAGE for Traverse / Enclave / Acadia / Outlook with Bucket Seats 3 Row Set (Black)	New	161.98	No		Yes	308	304	0	4	309	2.92	0	0	1
A0043/B0044-P-FBA	B01MTL5E9I	B01MTL5E9I	MAXFLOORMAT Floor Mats NEW FULL COVERAGE for Traverse / Enclave / Acadia / Outlook with Bucket Seats 3 Row Set (Black)	New	161.98	No		Yes	1	0	1	0	1	2.92	0	0	0
A0043/B0044-P/D0043-FBA	B01MRI25M8	B01MRI25M8	MAXLINER Floor Mats NEW FULL COVERAGE 3 Row Set and Cargo Liner for Behind 2nd Row Traverse / Enclave Bucket Seat Black	New	251.97	No		Yes	7	7	0	0	7	5.64	0	0	0
A0043/B0044-P/D0044-FBA	B01MSJO3NA	B01MSJO3NA	MAXLINER Floor Mats NEW FULL COVERAGE 3 Row Set and Cargo Liner for Behind 3rd Row Traverse / Enclave Bucket Seat Black	New	233.97	No		Yes	8	8	0	0	8	5.09	0	0	0
A0043/B0044-P/D0162-FBA	B01N03317N	B01N03317N	MAXLINER Floor Mats NEW FULL COVERAGE 3 Row Set and Cargo Liner for Behind 2nd Row GMC ACADIA Bucket Seats Black	New	251.97	No		Yes	7	7	0	0	7	5.21	0	0	0
A0043/B0044-P/E0162-FBA	B01MSJO202	B01MSJO202	MAXLINER Floor Mats NEW FULL COVERAGE 3 Row Set and Cargo Liner for Behind 3rd Row GMC ACADIA Bucket Seats Black	New	233.97	No		Yes	11	9	0	2	11	5	0	0	0
A0043/B0044-XXX	X000YOJORN	B00C2SLE2G	MAXFLOORMAT Floor Mats for Traverse / Enclave / Acadia / Outlook Bucket Seat Complete Set (Black)	New	161.98	No		Yes	29	29	0	0	29	2.66	0	0	0
A0043/B0044/D0043-FBA	X000GTDZUX	B00HZOBCS8	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row Traverse / Enclave Bucket Seat Black	New	251.97	No		Yes	6	6	0	0	6	4.54	0	0	0
A0043/B0044/D0044-FBA	X000GTDZTJ	B00HZOBCJW	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row Traverse / Enclave Bucket Seat Black	New	233.97	No		Yes	12	12	0	0	12	5.19	0	0	0
A0043/B0044/D0162-FBA	X000SUMM59	B010643L3W	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row GMC ACADIA Bucket Seats Black	New	251.97	No		Yes	2	2	0	0	2	5.44	0	0	0
A0043/B0044/E0162-FBA	X000SUMHT5	B010643N30	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row GMC ACADIA Bucket Seats Black	New	233.97	No		Yes	5	5	0	0	5	5.03	0	0	0
A0043/B0326-FBA	X001GWKMPP	B073RMCQS1	MAXFLOORMAT Floor Mats for Enclave / Acadia / Outlook Bucket Seat Complete Set (Black)	New	161.98	No		Yes	2	2	0	0	2	0.46	0	0	0
A0043/B0326/D0043-FBA	X001GWLEU7	B073RNK4SQ	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row Enclave Bucket Seat Black	New	251.97	No		Yes	2	2	0	0	2	4.15	0	0	0
A0043/B0326/D0044-FBA	X001GWMKJL	B073RMVVTW	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row Enclave Bucket Seat Black	New	233.97	No		Yes	2	2	0	0	2	4.15	0	0	0
A0043/B0326/D0162-FBA	X001GWL4A7	B073RN54XM	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row GMC ACADIA Bucket Seats Black	New	251.97	No		Yes	2	2	0	0	2	5.19	0	0	0
A0043/B0326/E0162-FBA	X001GWKVGP	B073RN3M55	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row GMC ACADIA Bucket Seats Black	New	233.97	No		Yes	2	2	0	0	2	5.19	0	0	0
A0046-FBA	X000TPOAPN	B0128J7CQU	MAXFLOORMAT Floor Mats for Dodge Grand Caravan / Chrysler Town & Country (2008-2017) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.7	0	0	0
A0046/B0046-FBA	X000U0XWVF	B013XJEQB8	MAXFLOORMAT Floor Mats for Dodge Grand Caravan / Chrysler Town & Country (2008-2017) (3 Row Set) (Black)	New	161.98	No		Yes	45	45	0	0	45	3.01	0	0	0
A0046/B0046-XXX	X00172H0WH	B014F5FQAO	MAXFLOORMAT Floor Mats for Dodge Grand Caravan / Chrysler Town & Country (2008-2017) (3 Row Set) (Bucket Seats Only) (Black)	New	161.98	No		Yes	8	8	0	0	34	3.08	0	26	0
A0046/B0046/D0043-S-FBA	X000U0XZWV	B013XJES4I	MAXLINER Custom Fit MAXFLOORMAT and MAXTRAY Cargo Liner for Select Dodge Caravan/Chrysler Town & Country Models - (Black) (3 Row Set Behind 2nd Row)	New	242.97	No		Yes	4	4	0	0	5	5.17	0	1	0
A0046/B0046/D0046-FBA	X000U0YC6T	B013XJETMY	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 3rd Row CARAVAN / TOWN & COUNTRY (2008-2017) (Black)	New	233.97	No		Yes	18	18	0	0	19	5.37	0	0	1
A0046/B0046/D0181-FBA	X000VTJBDD	B01CSYS12Y	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Behind 2nd Row CARAVAN / TOWN & COUNTRY (2008-2017) (Bucket Seats Only) (Black)	New	251.97	No		Yes	0	0	0	0	4	5.33	0	4	0
A0046/B0220-FBA	B01M0JM6S4	B01M0JM6S4	MAXFLOORMAT Floor Mats for Dodge Grand Caravan / Chrysler Town & Country (2008-2017) (2 Row Set) Bench Seats (Black)	New	143.98	No		Yes	8	7	0	1	8	2.74	0	0	0
A0046/B0220/D0046-FBA	B01LZKW4BN	B01LZKW4BN	MAXFLOORMAT Floor Mats 2 Rows Bench Seat and MAXTRAY Cargo Liner Behind 3rd Row CARAVAN / TOWN & COUNTRY 2008-2017 Black	New	215.97	No		Yes	0	0	0	0	0	4.98	0	0	0
A0046/B0220/D0181-FBA	B01LXAV6Z4	B01LXAV6Z4	MAXFLOORMAT Floor Mats 2 Rows Bench Seat and MAXTRAY Cargo Liner Behind 2nd Row CARAVAN / TOWN & COUNTRY 2008-2017 Black	New	233.97	No		Yes	0	0	0	0	0	5.12	0	0	0
A0050/B0050-FBA	X000GTE02F	B00C2S8MEE	MAXFLOORMAT Floor Mats for Nissan Rogue (2008-2013) / Rogue Select (2014-2015) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	2.85	0	0	0
A0050/B0050-XXX	X000VMIFXH	B00C2S8MEE	MAXFLOORMAT Floor Mats for Nissan Rogue (2008-2013) / Rogue Select (2014-2015) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	0	2.85	0	0	0
A0050/B0050/D0050-FBA	X000GTE011	B00HZOBFB2	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner Nissan Rogue (2008-2013) / Rogue Select (2014-2015) Complete Set (Black)	New	224.97	No		Yes	1	1	0	0	1	5.54	0	0	0
A0052/B0052-FBA	X000GTDZT9	B00HYHWLZY	MAXFLOORMAT Floor Mats for Toyota Venza (2009-2011) Complete Set (Black)	New	143.98	No		Yes	2	2	0	0	5	0.57	0	3	0
A0052/B0052/D0052-FBA	X000GTDZYJ	B00HZOBF5I	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Toyota Venza (2009-2011) Complete Set (Black)	New	233.97	No		Yes	2	2	0	0	2	4.69	0	0	0
A0055/B0055-FBA	X000GTE0CF	B00C2SB412	MAXFLOORMAT Floor Mats for Nissan Murano (2009-2014) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	2.92	0	0	0
A0055/B0055/D0055-FBA	X000GTE093	B00HZOBH4W	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Nissan Murano (2009-2014) Complete Set (Black)	New	224.97	No		Yes	7	7	0	0	7	5.16	0	0	0
A0055/B0055/D0055-XXX	X000VMIFV9	B00HZOBH4W	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Nissan Murano (2009-2014) Complete Set (Black)	New	224.97	No		Yes	0	0	0	0	0	5.16	0	0	0
A0056/B0056-FBA	X000GTDZRL	B00C2SDQBS	MAXFLOORMAT Floor Mats for Kia Sportage (2011-2013) / Hyundai Tucson (2010-2013) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	1	2.85	0	1	0
A0056/B0056/D0056-FBA	X000GTDZPD	B00HZOBH9M	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Hyundai Tucson (2010-2013) Complete Set (Black)	New	224.97	No		Yes	0	0	0	0	2	4.48	0	2	0
A0070/B0070-FBA	X000GTE025	B00C2SEJUK	MAXFLOORMAT Floor Mats for Chevrolet Equinox / GMC Terrain (2010-2011) Complete Set (Black) (Dual Hooks)	New	143.98	No		Yes	2	2	0	0	2	2.75	0	0	0
A0070/B0070-XXX	X000VXNT3H	B00C2SEJUK	MAXFLOORMAT Floor Mats for Chevrolet Equinox / GMC Terrain (2010-2011) Complete Set (Black) (Dual Hooks)	New	143.98	No		Yes	0	0	0	0	0	2.75	0	0	0
A0070/B0070/D0070-FBA	X000GTE075	B00CB6J9XU	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner Equinox / Terrain (2010-2011) Complete Set (Black) (Dual Hooks)	New	224.97	No		Yes	2	2	0	0	2	5.04	0	0	0
A0079/B0079-FBA	X000GTE061	B00C2SJYY6	MAXFLOORMAT Floor Mats for Kia Sorento (2011-2013) Complete Set (Black)	New	143.98	No		Yes	1	1	0	0	1	2.92	0	0	0
A0079/B0079/D0072-FBA	X000GTDZPX	B00HZOBJDG	Maxliner Floor Mats and Maxtray Cargo Liner for Kia Sorento (2011-2013) Complete Set (Black)	New	224.97	No		Yes	1	0	0	1	1	5.52	0	0	0
A0082-FBA	X000GTDDG9	B00C2SJBB2	MAXFLOORMAT Floor Mats for Ford Explorer (2011-2014) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.94	0	0	0
A0082/B0082-FBA	X000IK68R7	B00HYHWSO8	MAXFLOORMAT Floor Mats for Ford Explorer (Without Second Row Center Console) (2011-2014) (2 Row Set) (Black)	New	143.98	No		Yes	0	0	0	0	13	3.35	0	13	0
A0082/B0082/C0082-FBA	X000GTE0AR	B00HYHWT4W	MAXLINER Floor Mats for Ford Explorer 2011-2014 3 Row Set Without Second Row Center Console,   Black	New	188.97	No		Yes	0	0	0	0	0	3.03	0	0	0
A0082/B0082/C0082/D0082-FBA	X000GTE08J	B00HZOBJHM	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Ford Explorer (W/O 2nd Row Center Console) 2011-2014 (Black)	New	269.96	No		Yes	1	1	0	0	1	3.23	0	0	0
A0082/B0082/C0082/E0082-FBA	X001JIZ2I3	B074R2KCXL	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner Ford Explorer (W/O 2nd Row Center Console) 2011-2014 (Black)	New	260.96	No		Yes	12	12	0	0	20	5.47	0	0	8
A0082/B0082/D0082-FBA	X000GTDZRB	B00HZOBJEA	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Ford Explorer (W/O 2nd Row Center Console) 2011-2014 (Black)	New	224.97	No		Yes	2	2	0	0	2	5.66	0	0	0
A0082/B0082/E0082-FBA	X001JJ7RPN	B074R95DDS	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner Ford Explorer (W/O 2nd Row Center Console) 2011-2014 (Black)	New	215.97	No		Yes	14	14	0	0	20	5.84	0	0	6
A0082/B0109-FBA	X000IK68SV	B00HZOBKQC	MAXFLOORMAT Floor Mats for Ford Explorer (With Second Row Center Console) (2011-2014) (2 Row Set) (Black)	New	143.98	No		Yes	6	6	0	0	6	2.89	0	0	0
A0082/B0109/C0082-FBA	X000GTE09N	B00HZOBKWQ	MAXFLOORMAT Floor Mats for Ford Explorer (With Second Row Center Console) (2011-2014) (3 Row Set) (Black)	New	188.97	No		Yes	1	0	1	0	8	2.86	0	6	1
A0082/B0109/C0082/D0082-FBA	X000GTE007	B00HZOBKTE	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner for Ford Explorer With 2nd Row Center Console 2011-2014 Black	New	269.96	No		Yes	2	2	0	0	2	4.87	0	0	0
A0082/B0109/C0082/E0082-FBA	X001JIZPQ7	B074R22YX8	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner for Ford Explorer With 2nd Row Center Console 2011-2014 Black	New	260.96	No		Yes	1	1	0	0	1	5.28	0	0	0
A0082/B0109/D0082-FBA	X000GTE03J	B00HZOBKSK	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner for Ford Explorer With 2nd Row Center Console 2011-2014 Black	New	224.97	No		Yes	0	0	0	0	0	5.68	0	0	0
A0082/B0109/E0082-FBA	X001JJ7G5J	B074QZ2QSZ	MAXFLOORMAT Floor Mats (2 Row Set) and MAXTRAY Cargo Liner for Ford Explorer With 2nd Row Center Console 2011-2014 Black	New	215.97	No		Yes	2	2	0	0	2	5.13	0	0	0
A0084/B0084-FBA	X000ILIKJF	B00HYHWUUU	MAXFLOORMAT Floor Mats for Acura MDX (2007-2013) (2 Row Set) (Black)	New	143.98	No		Yes	4	4	0	0	4	2.92	0	0	0
A0084/B0084/C0084-FBA	X000GTDZWB	B00C2SOL2G	MAXFLOORMAT Floor Mats for Acura MDX (2007-2013) (3 Row Set) (Black)	New	188.97	No		Yes	11	11	0	0	11	2.92	0	0	0
A0084/B0084/C0084/D0084-FBA	X000UWN0AL	B01CSYTHAE	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner Behind Second Row for Acura MDX (2007-2013) (3 Row Set) (Black)	New	278.96	No		Yes	5	5	0	0	5	5.41	0	0	0
A0084/B0084/D0084-FBA	X000UWN4IT	B01CSYTIKS	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner Behind Second Row for Acura MDX (2007-2013) (2 Row Set) (Black)	New	233.97	No		Yes	3	0	0	3	3	4.82	0	0	0
A0085/B0035-FBA	X000GTDZSZ	B00C2SQ99Y	MAXFLOORMAT Floor Mats for Ford Edge / Lincoln MKX (2007-2010) Complete Set (Black)	New	143.98	No		Yes	0	0	0	0	0	2.92	0	0	0
